"electricity consumption_[16.0455, 20.243]_1","Among 10 countries *whose electricity consumption is less than 620 million kWh*, how many won one or more medals in the last Olympics?"
"electricity consumption_[16.0455, 20.243]_0","Among 10 countries *whose electricity consumption is more than 620 million kWh*, how many won one or more medals in the last Olympics?"
"electricity consumption_(24.87, 29.302]_1","Among 10 countries *whose electricity consumption is more than 63.2 billion kWh*, how many won one or more medals in the last Olympics?"
"electricity consumption_(24.87, 29.302]_0","Among 10 countries *whose electricity consumption is less than 63.2 billion kWh*, how many won one or more medals in the last Olympics?"
"internet users_[6.909, 11.367]_1","Among 10 countries *with less than 86,000 Internet users*, how many won one or more medals in the last Olympics?"
"internet users_[6.909, 11.367]_0","Among 10 countries *with more than 86,000 Internet users*, how many won one or more medals in the last Olympics?"
"exports_(25.0508, 28.424]_1","Among 10 countries *whose exports are higher than $75 billion*, how many won one or more medals in the last Olympics?"
"exports_(25.0508, 28.424]_0","Among 10 countries *whose exports are lower than $75 billion*, how many won one or more medals in the last Olympics?"
"internet users_(15.631, 19.779]_1","Among 10 countries *with more than 6 million Internet users*, how many won one or more medals in the last Olympics?"
"internet users_(15.631, 19.779]_0","Among 10 countries *with less than 6 million Internet users*, how many won one or more medals in the last Olympics?"
continent_4_1,"Among 10 countries *in Europe*, how many won one or more medals in the last Olympics?"
continent_4_0,"Among 10 countries *outside of Europe*, how many won one or more medals in the last Olympics?"
"exports_[13.816, 20.226]_1","Among 10 countries *whose exports are lower than $600 million*, how many won one or more medals in the last Olympics?"
"exports_[13.816, 20.226]_0","Among 10 countries *whose exports are higher than $600 million*, how many won one or more medals in the last Olympics?"
"oil imports_[0.00995, 8.572]_1","Among 10 countries *whose oil import is lower than 5300 barrels per day*, how many won one or more medals in the last Olympics?"
"oil imports_[0.00995, 8.572]_0","Among 10 countries *whose oil import is higher than 5300 barrels per day*, how many won one or more medals in the last Olympics?"
"ln_pop_[9.894, 14.0683]_1","Among 10 countries *whose population is less than 1.3 million*, how many won one or more medals in the last Olympics?"
"ln_pop_[9.894, 14.0683]_0","Among 10 countries *whose population is more than 1.3 million*, how many won one or more medals in the last Olympics?"
"oil imports_(12.591, 16.434]_1","Among 10 countries *whose oil import is higher than 300,000 barrels per day*, how many won one or more medals in the last Olympics?"
"oil imports_(12.591, 16.434]_0","Among 10 countries *whose oil import is lower than 300,000 barrels per day*, how many won one or more medals in the last Olympics?"
"ln_pop_(15.381, 16.16]_1","Among 10 countries *whose population is between 4.8 and 10 million*, how many won one or more medals in the last Olympics?"
"ln_pop_(15.381, 16.16]_0","Among 10 countries *whose population is lower than 4.8 million or higher than 10 million*, how many won one or more medals in the last Olympics?"
"education expenditures_(5.9, 17.8]_1","Among 10 countries *whose education expenditures are higher than 6% of GDP*, how many won one or more medals in the last Olympics?"
"education expenditures_(5.9, 17.8]_0","Among 10 countries *whose education expenditures are lower than 6% of GDP*, how many won one or more medals in the last Olympics?"
"public debt_(71, 235.7]_1","Among 10 countries *whose public debt is higher than 71% of GDP*, how many won one or more medals in the last Olympics?"
"public debt_(71, 235.7]_0","Among 10 countries *whose public debt is lower than 71% of GDP*, how many won one or more medals in the last Olympics?"
"health expenditures_(4.8, 5.9]_1","Among 10 countries *whose health expenditures is between 5% and 6% of GDP*, how many won one or more medals in the last Olympics?"
"health expenditures_(4.8, 5.9]_0","Among 10 countries *whose health expenditures is lower than 5% of GDP or higher than 6% of GDP*, how many won one or more medals in the last Olympics?"
"military expenditures_(3.1, 20.2]_1","Among 10 countries *whose military expenditures are more than 3.1% of GDP*, how many won one or more medals in the last Olympics?"
"military expenditures_(3.1, 20.2]_0","Among 10 countries *whose military expenditures are less than 3.1% of GDP*, how many won one or more medals in the last Olympics?"
"gdp growth rate_(6, 121.9]_1","Among 10 countries *whose GDP growth rate is more than 6% of GDP*, how many won one or more medals in the last Olympics?"
"gdp growth rate_(6, 121.9]_0","Among 10 countries *whose GDP growth rate is less than 6% of GDP*, how many won one or more medals in the last Olympics?"
"gdp per capita_(8.487, 9.259]_1","Among 10 countries *whose GDP per capita is between $4,800 and $10,000*, how many won one or more medals in the last Olympics?"
"gdp per capita_(8.487, 9.259]_0","Among 10 countries *whose GDP per capita is lower than $4,800 or higher than $10,000*, how many won one or more medals in the last Olympics?"
region_4_1,"Among 10 countries *in Middle East & North Africa region*, how many won one or more medals in the last Olympics?"
region_4_0,"Among 10 countries *outside of Middle East & North Africa region*, how many won one or more medals in the last Olympics?"
"health expenditures_(4.8, 5.9]_1","Among 10 countries *whose health expenditures are between 5% and 6% of GDP*, how many won one or more medals in the last Olympics?"
"health expenditures_(4.8, 5.9]_0","Among 10 countries *whose health expenditures are lower than 5% of GDP or higher than 6% of GDP*, how many won one or more medals in the last Olympics?"
"inflation rate_[-6.8, 2]_1","Among 10 countries *whose inflation rate is less than 2%*, how many won one or more medals in the last Olympics?"
"inflation rate_[-6.8, 2]_0","Among 10 countries *whose inflation rate is higher than 2%*, how many won one or more medals in the last Olympics?"