"education expenditures_(4.133, 5.6]_0","If a country *has low or high education expenditures (less than 4% or more than 6% of GDP)*, what is the chance (or probability) that it won at least one gold medal in the last Olympics? Give your best guess (between 0 and 1)."
"education expenditures_(4.133, 5.6]_1","If a country *has medium education expenditures (between 4% of GDP and 6% of GDP)*, what is the chance (or probability) that it won at least one gold medal in the last Olympics? Give your best guess (between 0 and 1)."
"education expenditures_(4.133, 5.6]",What is the percentage of countries *having medium education expenditures (between 4% of GDP and 6% of GDP)*? Give your best guess (between 0 and 1).
"inflation rate_(1.9, 4.2]_0","If a country *has a low or high inflation rate (less than 2% or more than 4% of GDP)*, what is the chance (or probability) that it won at least one gold medal in the last Olympics? Give your best guess (between 0 and 1)."
"inflation rate_(1.9, 4.2]_1","If a country *has a medium inflation rate (between 2% and 4% of GDP)*, what is the chance (or probability) that it won at least one gold medal in the last Olympics? Give your best guess (between 0 and 1)."
"inflation rate_(1.9, 4.2]",What is the percentage of countries *having a medium inflation rate (between 2% and 4% of GDP)*? Give your best guess (between 0 and 1).
region_3_0,"If a country *does not belong to Asia*, what is the chance (or probability) that it won at least one gold medal in the last Olympics? Give your best guess (between 0 and 1)."
region_3_1,"If a country *belongs to Asia*, what is the chance (or probability) that it won at least one gold medal in the last Olympics? Give your best guess (between 0 and 1)."
region_3,What is the percentage of countries *belonging to Asia*? Give your best guess (between 0 and 1).
"unemployment rate_[0.3, 6.433]_0","If a country *has a medium or high unemployment rate (more than 6%)*, what is the chance (or probability) that it won at least one gold medal in the last Olympics? Give your best guess (between 0 and 1)."
"unemployment rate_[0.3, 6.433]_1","If a country *has a low unemployment rate (less than 6%)*, what is the chance (or probability) that it won at least one gold medal in the last Olympics? Give your best guess (between 0 and 1)."
"unemployment rate_[0.3, 6.433]",What is the percentage of countries *having a low unemployment rate (less than 6%)*? Give your best guess (between 0 and 1).
"public debt_(61.733, 226.1]_0","If a country *has medium or low public debt (less than 62% of GDP)*, what is the chance (or probability) that it won at least one gold medal in the last Olympics? Give your best guess (between 0 and 1)."
"public debt_(61.733, 226.1]_1","If a country *has high public debt (more than 62% GDP)*, what is the chance (or probability) that it won at least one gold medal in the last Olympics? Give your best guess (between 0 and 1)."
"public debt_(61.733, 226.1]",What is the percentage of countries *having high public debt (more than 62% GDP)*? Give your best guess (between 0 and 1).
"electricity consumption_[90210000, 7952000000]_0","If a country *has a medium or high electricity consumption (more than 8 billion kWh)*, what is the chance (or probability) that it won at least one gold medal in the last Olympics? Give your best guess (between 0 and 1)."
"electricity consumption_[90210000, 7952000000]_1","If a country *has a low electricity consumption (less than 8 billion kWh)*, what is the chance (or probability) that it won at least one gold medal in the last Olympics? Give your best guess (between 0 and 1)."
"electricity consumption_[90210000, 7952000000]",What is the percentage of countries *having a low electricity consumption (less than 8 billion kWh)*? Give your best guess (between 0 and 1).
"exports_[1163000, 10071333333.333]_0","If a country *has medium or high exports (more than $10 billion)*, what is the chance (or probability) that it won at least one gold medal in the last Olympics? Give your best guess (between 0 and 1)."
"exports_[1163000, 10071333333.333]_1","If a country *has low exports (less than $10 billion)*, what is the chance (or probability) that it won at least one gold medal in the last Olympics? Give your best guess (between 0 and 1)."
"exports_[1163000, 10071333333.333]",What is the percentage of countries *having low exports (less than $10 billion)*? Give your best guess (between 0 and 1).
"exports_(77193333333.333, 1580000000000]_0","If a country *has medium or low exports (less than $77 billion)*, what is the chance (or probability) that it won at least one gold medal in the last Olympics? Give your best guess (between 0 and 1)."
"exports_(77193333333.333, 1580000000000]_1","If a country *has high exports (more than $77 billion)*, what is the chance (or probability) that it won at least one gold medal in the last Olympics? Give your best guess (between 0 and 1)."
"exports_(77193333333.333, 1580000000000]",What is the percentage of countries *having high exports (more than $77 billion)*? Give your best guess (between 0 and 1).